Date,ixic-high,ixic-low,gspc-high,gspc-low,gold-high,gold-low
1/1/96,1059.810059,977.789978,636.179993,597.289978,30.125,26.625
2/1/96,1121.890015,1057.819946,664.22998,633.710022,32.875,29.875
3/1/96,1119.839966,1057.869995,656.969971,627.630005,32,28.25
4/1/96,1190.869995,1092.439941,656.679993,624.140015,32.125,29.375
5/1/96,1252.810059,1163.209961,681.099976,630.070007,32.125,29.75
6/1/96,1254.119995,1147.75,680.320007,658.75,31.75,26.875
7/1/96,1198.040039,1008.440002,675.880005,605.880005,29.25,24.875
8/1/96,1153.900024,1080.410034,670.679993,639.48999,29.5,26.5
9/1/96,1237.26001,1123.140015,690.880005,643.969971,27.75,24.625
10/1/96,1269.619995,1202.359985,714.099976,684.440002,27.75,25.125
11/1/96,1293.75,1218.22998,762.119995,701.299988,30.375,25.375
12/1/96,1328.949951,1251.030029,761.75,716.690002,30.5,27.875
1/1/97,1400.530029,1272.339966,794.669983,729.549988,28.75,26
2/1/97,1384.51001,1296.880005,817.679993,773.429993,28.375,25.375
3/1/97,1332.339966,1220.400024,814.900024,756.130005,28.125,23.375
4/1/97,1267.410034,1194.160034,804.130005,733.539978,24.5,21.5
5/1/97,1414.26001,1260.939941,851.869995,793.210022,26,22.25
6/1/97,1467.290039,1375.449951,902.090027,838.820007,25.375,21.5625
7/1/97,1595.76001,1432.420044,957.72998,884.539978,23.1875,19.3125
8/1/97,1638.26001,1545.130005,964.169983,893.340027,23.9375,21.875
9/1/97,1702.48999,1595.069946,960.590027,899.469971,25.125,20.9375
10/1/97,1748.780029,1465.839966,983.119995,855.27002,25.1875,19.125
11/1/97,1654.430054,1508.410034,964.549988,900.609985,21.125,16.25
12/1/97,1652.839966,1486.51001,986.25,924.919983,19.5625,15.125
1/1/98,1629.540039,1465.609985,992.650024,912.830017,20.375,15.0625
2/1/98,1783.73999,1640.060059,1051.660034,980.280029,20.25,17.6875
3/1/98,1840.829956,1708.47998,1113.069946,1030.869995,22.3125,18.6875
4/1/98,1931.829956,1788.73999,1132.97998,1076.699951,23.6875,21.1875
5/1/98,1890.800049,1742.050049,1130.52002,1074.390015,22.5,19.125
6/1/98,1898.619995,1715.040039,1145.150024,1074.670044,19.875,16.5
7/1/98,2028.180054,1871.719971,1190.579956,1114.300049,19.4375,16.125
8/1/98,1874.310059,1498.72998,1121.790039,957.280029,17,12.875
9/1/98,1769.709961,1475.48999,1066.109985,939.97998,21.5625,13
10/1/98,1781.630005,1343.869995,1103.780029,923.320007,23.375,19.125
11/1/98,2025.040039,1771.400024,1192.969971,1098.670044,23.625,19.375
12/1/98,2200.629883,1924.150024,1244.930054,1136.890015,20.5625,17.9375
1/1/99,2506.679932,2192.679932,1280.369995,1205.459961,21.8125,18.1875
2/1/99,2533.439941,2224.209961,1283.839966,1211.890015,20.625,17.375
3/1/99,2520.629883,2235.189941,1323.819946,1216.030029,19.625,16.4375
4/1/99,2677.76001,2329.870117,1371.560059,1282.560059,21,16.125
5/1/99,2632.73999,2339.120117,1375.97998,1277.310059,23.5,16.625
6/1/99,2696.870117,2364.590088,1372.930054,1277.469971,19.5625,16.125
7/1/99,2874.919922,2619.080078,1420.329956,1328.48999,19.6875,16.75
8/1/99,2819.899902,2442.219971,1382.839966,1267.72998,20.6875,17.9375
9/1/99,2897.530029,2684.699951,1361.390015,1256.26001,26,18.0625
10/1/99,2978.629883,2632.01001,1373.170044,1233.699951,24.4375,18.125
11/1/99,3469.350098,2967.629883,1425.310059,1346.410034,19.5625,16.9375
12/1/99,4090.610107,3321.570068,1473.099976,1387.380005,18.75,17.1875
1/1/00,4303.149902,3711.090088,1478,1350.140015,18.1875,16.1875
2/1/00,4698.459961,3911.840088,1444.550049,1325.069946,19.75,15.9375
3/1/00,5132.52002,4355.689941,1552.869995,1346.619995,17.3125,15.5625
4/1/00,4572.839844,3227.040039,1527.189941,1339.400024,17.8125,15.5
5/1/00,3982.379883,3042.659912,1481.51001,1361.089966,19.125,16.625
6/1/00,4073.72998,3459.850098,1488.930054,1420.599976,20,17.25
7/1/00,4289.060059,3615.790039,1517.319946,1413.890015,18.375,15.8125
8/1/00,4208.72998,3521.139893,1525.209961,1425.430054,17.6875,15.625
9/1/00,4259.870117,3614.659912,1530.089966,1419.439941,16.5625,14.8125
10/1/00,3714.47998,3026.110107,1454.819946,1305.790039,15.1875,12.3125
11/1/00,3480.01001,2523.040039,1438.459961,1294.900024,15.125,13.125
12/1/00,3028.75,2288.159912,1389.050049,1254.069946,17.26,14.8125
1/1/01,2892.360107,2251.709961,1383.369995,1274.619995,17.34,14.87
2/1/01,2796.889893,2127.5,1376.380005,1215.439941,16.450001,13.8
3/1/01,2243.780029,1794.209961,1267.420044,1081.189941,17.68,13.69
4/1/01,2202.860107,1619.579956,1269.300049,1091.98999,16.879999,13.72
5/1/01,2328.050049,2052.409912,1315.930054,1232,19.379999,16.139999
