DATE,Dividend Yield,GOLDBAR,P/E
1996-01,2.26,20.754421,18.6845
1996-02,2.16,21.372637,18.814
1996-03,2.18,21.460953,18.963
1996-04,2.19,21.637589,18.7388
1996-05,2.15,22.255806,19.167
1996-06,2.14,19.208273,19.2103
1996-07,2.24,19.739376,17.7764
1996-08,2.19,19.119747,18.1108
1996-09,2.17,17.791985,19.0925
1996-10,2.1,18.500137,18.2099
1996-11,2.01,21.244173,19.5461
1996-12,2,20.408468,19.1257
1997-01,1.95,19.07748,19.5368
1997-02,1.88,20.053539,19.6526
1997-03,1.9,16.859171,18.8151
1997-04,1.98,15.883113,19.7618
1997-05,1.82,17.923964,20.9194
1997-06,1.73,15.577053,21.8284
1997-07,1.64,16.244644,23.482
1997-08,1.65,16.200125,22.1326
1997-09,1.64,17.579815,23.3091
1997-10,1.62,14.642427,23.0267
1997-11,1.64,11.794054,24.0534
1997-12,1.61,13.386651,24.4318
1998-01,1.61,13.925716,24.7921
1998-02,1.52,13.880785,26.5387
1998-03,1.45,15.542894,27.8642
1998-04,1.42,16.126871,28.5284
1998-05,1.43,13.835875,27.9913
1998-06,1.44,13.899205,29.0952
1998-07,1.38,11.823355,29.4216
1998-08,1.5,9.386477,25.1321
1998-09,1.58,14.440726,26.7002
1998-10,1.57,15.433544,29.1347
1998-11,1.41,14.440726,30.8573
1998-12,1.36,14.201373,32.5969
1999-01,1.3,13.882746,33.3413
1999-02,1.31,12.881373,32.265
1999-03,1.28,12.426199,33.5167
1999-04,1.23,14.656544,32.5495
1999-05,1.23,12.562754,31.7367
1999-06,1.24,14.278129,33.4644
1999-07,1.2,13.679372,30.2257
1999-08,1.25,14.278129,30.0366
1999-09,1.26,16.028351,29.179
1999-10,1.28,13.49514,28.2942
1999-11,1.2,13.264847,28.8335
1999-12,1.17,13.102615,30.5013
2000-01,1.17,12.130337,27.3692
2000-02,1.21,12.084039,26.8188
2000-03,1.16,11.621046,29.4128
2000-04,1.15,12.454427,27.9744
2000-05,1.18,13.42671,27.3613
2000-06,1.14,13.626328,28.0162
2000-07,1.13,11.950861,26.6449
2000-08,1.11,11.962581,28.2622
2000-09,1.11,11.435337,26.7507
2000-10,1.17,10.029353,28.588
2000-11,1.18,11.247875,26.299
2000-12,1.22,12.3738,26.4056
2001-01,1.21,11.686364,30.0618
2001-02,1.23,12.237825,27.2874
2001-03,1.35,10.794967,25.5354
2001-04,1.33,12.419121,33.9619
2001-05,1.24,12.464446,34.1348
2001-06,1.27,11.516732,33.2802
2001-07,1.3,11.319084,42.7845
2001-08,1.33,12.17809,40.0417
2001-09,1.51,13.189128,36.7693
2001-10,1.46,11.851214,42.9235
2001-11,1.39,11.501532,46.1503
2001-12,1.37,12.216291,46.4998
2002-01,1.38,13.097095,45.7571
2002-02,1.43,13.82471,44.8069
2002-03,1.36,14.215322,46.453
2002-04,1.42,15.371846,40.2737
2002-05,1.48,16.696869,39.908
2002-06,1.58,14.613621,37.0165
2002-07,1.77,11.789402,30.3469
2002-08,1.74,12.366558,30.495
2002-09,1.82,11.966394,27.1398
2002-10,1.86,11.597016,32.1044
2002-11,1.76,11.289198,33.9366
2002-12,1.79,11.858665,31.8891
2003-01,1.8,12.750899,28.2223
2003-02,1.93,12.495111,27.7424
2003-03,1.92,12.061033,27.9743
2003-04,1.82,11.588203,26.5389
2003-05,1.73,13.549279,27.8897
2003-06,1.64,13.960582,28.2055
2003-07,1.64,13.352244,25.669
2003-08,1.66,15.76221,26.1278
2003-09,1.63,14.685912,25.8157
2003-10,1.62,15.18506,21.5574
2003-11,1.63,17.423424,21.7111
2003-12,1.61,17.891039,22.8133
2004-01,1.55,15.519749,21.7525
2004-02,1.56,16.110605,22.0181
2004-03,1.6,18.733992,21.6579
2004-04,1.61,15.14947,19.7204
2004-05,1.67,16.283916,19.9587
2004-06,1.64,15.726846,20.3177
2004-07,1.7,15.225182,19.0708
2004-08,1.74,15.925924,19.1144
2004-09,1.71,16.754066,19.2934
2004-11,1.66,19.580919,20.0482
2004-12,1.62,19.372845,20.6989
2005-01,1.67,17.485151,19.5834
2005-02,1.66,19.916761,19.9536
2005-03,1.69,19.164881,19.5721
2005-04,1.76,17.85309,18.2584
2005-05,1.76,18.389008,18.8052
2005-06,1.74,20.219084,18.8026
2005-07,1.73,19.790949,18.5396
2005-08,1.74,21.180351,18.3315
2005-09,1.75,23.466402,18.4589
2005-10,1.82,20.39679,17.2603
2005-11,1.78,21.495392,17.8676
2005-12,1.76,22.603855,17.8506
2006-01,1.75,25.515509,17.615
2006-02,1.77,22.198338,17.623
2006-03,1.76,22.092899,17.8185
2006-04,1.77,24.720688,17.5944
2006-05,1.8,24.82613,17.0505
2006-06,1.87,24.178808,17.052
2006-07,1.88,25.159029,16.2487
2006-08,1.85,27.348194,16.5944
2006-09,1.83,25.093681,17.002
2006-10,1.79,25.322407,16.9052
2006-11,1.77,25.68182,17.1835
2006-12,1.76,25.170416,17.4003
2007-01,1.76,24.284945,17.2969
2007-02,1.75,24.489918,16.9191
2007-03,1.81,23.407665,17.0879
2007-04,1.76,23.046925,17.4561
2007-05,1.72,23.883192,18.0243
2007-06,1.73,23.958353,17.7031
2007-07,1.74,27.114885,18.5149
2007-08,1.84,26.801702,18.7531
2007-09,1.8,33.197205,19.4243
2007-10,1.77,36.37022,23.4116
2007-11,1.88,33.386761,22.3805
2007-12,1.87,34.782528,22.1874
2008-01,2.03,42.549664,22.8275
2008-02,2.07,42.971523,22.0339
2008-03,2.15,35.940571,21.9026
2008-04,2.08,31.945345,26.9727
2008-05,2.04,33.32671,27.2607
2008-06,2.14,37.821716,24.9173
2008-07,2.29,35.2033,27.5817
2008-08,2.25,28.869198,27.918
2008-09,2.37,30.539988,25.3832
2008-10,2.96,18.90254,65.1042
2008-11,3.23,24.488522,60.2312
