DATE,Dividend Yield,SP500,P/E
1996-01,2.26,636.02002,18.6845
1996-02,2.16,640.429993,18.814
1996-03,2.18,645.5,18.963
1996-04,2.19,654.169983,18.7388
1996-05,2.15,669.119995,19.167
1996-06,2.14,670.630005,19.2103
1996-07,2.24,639.950012,17.7764
1996-08,2.19,651.98999,18.1108
1996-09,2.17,687.330017,19.0925
1996-10,2.1,705.27002,18.2099
1996-11,2.01,757.02002,19.5461
1996-12,2,740.73999,19.1257
1997-01,1.95,786.159973,19.5368
1997-02,1.88,790.820007,19.6526
1997-03,1.9,757.119995,18.8151
1997-04,1.98,801.340027,19.7618
1997-05,1.82,848.280029,20.9194
1997-06,1.73,885.140015,21.8284
1997-07,1.64,954.309998,23.482
1997-08,1.65,899.469971,22.1326
1997-09,1.64,947.280029,23.3091
1997-10,1.62,914.619995,23.0267
1997-11,1.64,955.400024,24.0534
1997-12,1.61,970.429993,24.4318
1998-01,1.61,980.280029,24.7921
1998-02,1.52,1049.339966,26.5387
1998-03,1.45,1101.75,27.8642
1998-04,1.42,1111.75,28.5284
1998-05,1.43,1090.819946,27.9913
1998-06,1.44,1133.839966,29.0952
1998-07,1.38,1120.670044,29.4216
1998-08,1.5,957.280029,25.1321
1998-09,1.58,1017.01001,26.7002
1998-10,1.57,1098.670044,29.1347
1998-11,1.41,1163.630005,30.8573
1998-12,1.36,1229.22998,32.5969
1999-01,1.3,1279.640015,33.3413
1999-02,1.31,1238.329956,32.265
1999-03,1.28,1286.369995,33.5167
1999-04,1.23,1335.180054,32.5495
1999-05,1.23,1301.839966,31.7367
1999-06,1.24,1372.709961,33.4644
1999-07,1.2,1328.719971,30.2257
1999-08,1.25,1320.410034,30.0366
1999-09,1.26,1282.709961,29.179
1999-10,1.28,1362.930054,28.2942
1999-11,1.2,1388.910034,28.8335
1999-12,1.17,1469.25,30.5013
2000-01,1.17,1394.459961,27.3692
2000-02,1.21,1366.420044,26.8188
2000-03,1.16,1498.579956,29.4128
2000-04,1.15,1452.430054,27.9744
2000-05,1.18,1420.599976,27.3613
2000-06,1.14,1454.599976,28.0162
2000-07,1.13,1430.829956,26.6449
2000-08,1.11,1517.680054,28.2622
2000-09,1.11,1436.51001,26.7507
2000-10,1.17,1429.400024,28.588
2000-11,1.18,1314.949951,26.299
2000-12,1.22,1320.280029,26.4056
2001-01,1.21,1366.01001,30.0618
2001-02,1.23,1239.939941,27.2874
2001-03,1.35,1160.329956,25.5354
2001-04,1.33,1249.459961,33.9619
2001-05,1.24,1255.819946,34.1348
2001-06,1.27,1224.380005,33.2802
2001-07,1.3,1211.22998,42.7845
2001-08,1.33,1133.579956,40.0417
2001-09,1.51,1040.939941,36.7693
2001-10,1.46,1059.780029,42.9235
2001-11,1.39,1139.449951,46.1503
2001-12,1.37,1148.079956,46.4998
2002-01,1.38,1130.199951,45.7571
2002-02,1.43,1106.72998,44.8069
2002-03,1.36,1147.390015,46.453
2002-04,1.42,1076.920044,40.2737
2002-05,1.48,1067.140015,39.908
2002-06,1.58,989.820007,37.0165
2002-07,1.77,911.619995,30.3469
2002-08,1.74,916.070007,30.495
2002-09,1.82,815.280029,27.1398
2002-10,1.86,885.76001,32.1044
2002-11,1.76,936.309998,33.9366
2002-12,1.79,879.820007,31.8891
2003-01,1.8,855.700012,28.2223
2003-02,1.93,841.150024,27.7424
2003-03,1.92,848.179993,27.9743
2003-04,1.82,916.919983,26.5389
2003-05,1.73,963.590027,27.8897
2003-06,1.64,974.5,28.2055
2003-07,1.64,990.309998,25.669
2003-08,1.66,1008.01001,26.1278
2003-09,1.63,995.969971,25.8157
2003-10,1.62,1050.709961,21.5574
2003-11,1.63,1058.199951,21.7111
2003-12,1.61,1111.920044,22.8133
2004-01,1.55,1131.130005,21.7525
2004-02,1.56,1144.939941,22.0181
2004-03,1.6,1126.209961,21.6579
2004-04,1.61,1107.300049,19.7204
2004-05,1.67,1120.680054,19.9587
2004-06,1.64,1140.839966,20.3177
2004-07,1.7,1101.719971,19.0708
2004-08,1.74,1104.23999,19.1144
2004-09,1.71,1114.579956,19.2934
2004-11,1.66,1173.819946,20.0482
2004-12,1.62,1211.920044,20.6989
2005-01,1.67,1181.27002,19.5834
2005-02,1.66,1203.599976,19.9536
2005-03,1.69,1180.589966,19.5721
2005-04,1.76,1156.849976,18.2584
2005-05,1.76,1191.5,18.8052
2005-06,1.74,1191.329956,18.8026
2005-07,1.73,1234.180054,18.5396
