DATE,Dividend Yield
1996-01,2.26
1996-02,2.16
1996-03,2.18
1996-04,2.19
1996-05,2.15
1996-06,2.14
1996-07,2.24
1996-08,2.19
1996-09,2.17
1996-10,2.1
1996-11,2.01
1996-12,2
1997-01,1.95
1997-02,1.88
1997-03,1.9
1997-04,1.98
1997-05,1.82
1997-06,1.73
1997-07,1.64
1997-08,1.65
1997-09,1.64
1997-10,1.62
1997-11,1.64
1997-12,1.61
1998-01,1.61
1998-02,1.52
1998-03,1.45
1998-04,1.42
1998-05,1.43
1998-06,1.44
1998-07,1.38
1998-08,1.5
1998-09,1.58
1998-10,1.57
1998-11,1.41
1998-12,1.36
1999-01,1.3
1999-02,1.31
1999-03,1.28
1999-04,1.23
1999-05,1.23
1999-06,1.24
1999-07,1.2
1999-08,1.25
1999-09,1.26
1999-10,1.28
1999-11,1.2
1999-12,1.17
2000-01,1.17
2000-02,1.21
2000-03,1.16
2000-04,1.15
2000-05,1.18
2000-06,1.14
2000-07,1.13
2000-08,1.11
2000-09,1.11
2000-10,1.17
2000-11,1.18
2000-12,1.22
2001-01,1.21
2001-02,1.23
2001-03,1.35
2001-04,1.33
2001-05,1.24
2001-06,1.27
2001-07,1.3
2001-08,1.33
2001-09,1.51
2001-10,1.46
2001-11,1.39
2001-12,1.37
2002-01,1.38
2002-02,1.43
2002-03,1.36
2002-04,1.42
2002-05,1.48
2002-06,1.58
2002-07,1.77
2002-08,1.74
2002-09,1.82
2002-10,1.86
2002-11,1.76
2002-12,1.79
2003-01,1.8
2003-02,1.93
2003-03,1.92
2003-04,1.82
2003-05,1.73
2003-06,1.64
2003-07,1.64
2003-08,1.66
2003-09,1.63
2003-10,1.62
2003-11,1.63
2003-12,1.61
2004-01,1.55
2004-02,1.56
2004-03,1.6
2004-04,1.61
2004-05,1.67
2004-06,1.64
2004-07,1.7
2004-08,1.74
2004-09,1.71
2004-11,1.66
2004-12,1.62
2005-01,1.67
2005-02,1.66
2005-03,1.69
2005-04,1.76
2005-05,1.76
2005-06,1.74
2005-07,1.73
2005-08,1.74
2005-09,1.75
2005-10,1.82
2005-11,1.78
2005-12,1.76
2006-01,1.75
2006-02,1.77
2006-03,1.76
2006-04,1.77
2006-05,1.8
2006-06,1.87
2006-07,1.88
2006-08,1.85
2006-09,1.83
2006-10,1.79
2006-11,1.77
2006-12,1.76
2007-01,1.76
2007-02,1.75
2007-03,1.81
2007-04,1.76
2007-05,1.72
2007-06,1.73
2007-07,1.74
2007-08,1.84
2007-09,1.8
2007-10,1.77
2007-11,1.88
2007-12,1.87
2008-01,2.03
2008-02,2.07
2008-03,2.15
2008-04,2.08
2008-05,2.04
2008-06,2.14
2008-07,2.29
2008-08,2.25
2008-09,2.37
2008-10,2.96
2008-11,3.23
2008-12,3.23
2009-01,3.24
2009-02,3.43
2009-03,3.6
2009-04,3.15
2009-05,2.9
2009-06,2.76
2009-07,2.67
2009-08,2.42
2009-09,2.29
2009-10,2.19
2009-11,2.1
2009-12,2.02
2010-01,1.98
2010-02,2.03
2010-03,1.9
2010-04,1.83
2010-05,1.95
2010-06,2.03
2010-07,2.05
2010-08,2.05
2010-09,1.99
2010-10,1.92
2010-11,1.89
2010-12,1.83
2011-01,1.79
2011-02,1.76
2011-03,1.8
2011-04,1.78
2011-05,1.8
2011-06,1.89
2011-07,1.86
2011-08,2.1
2011-09,2.15
2011-10,2.12
2011-11,2.12
2011-12,2.13
2012-01,2.06
2012-02,2
2012-03,1.97
2012-04,2
2012-05,2.09
2012-06,2.14
2012-07,2.11
2012-08,2.08
2012-09,2.05
2012-10,2.1
2012-11,2.2
2012-12,2.2
2013-01,2.13
2013-02,2.1
2013-03,2.07
2013-04,2.07
2013-05,2.01
2013-06,2.06
2013-07,2.02
2013-08,2.04
2013-09,2.04
2013-10,2.01
2013-11,1.95
2013-12,1.94
2014-01,1.94
2014-02,1.97
2014-03,1.94
2014-04,1.96
2014-05,1.96
2014-06,1.92
2014-07,1.91
2014-08,1.94
2014-09,1.93
2014-10,2
2014-11,1.91
2014-12,1.92
2015-01,1.97
2015-02,1.94
2015-03,1.96
2015-04,1.96
2015-05,1.96
2015-06,1.99
2015-07,2.01
2015-08,2.07
2015-09,2.19
2015-10,2.11
2015-11,2.07
2015-12,2.11
2016-01,2.27
2016-02,2.3
2016-03,2.17
2016-04,2.12
2016-05,2.14
2016-06,2.13
2016-07,2.08
2016-08,2.07
2016-09,2.09
2016-10,2.11
2016-11,2.1
2016-12,2.03
2017-01,2.02
2017-02,1.98
2017-03,1.96
2017-04,1.98
2017-05,1.96
2017-06,1.94
2017-07,1.94
2017-08,1.95
2017-09,1.93
2017-10,1.89
2017-11,1.88
2017-12,1.84
2018-01,1.77
2018-02,1.84
2018-03,1.85
2018-04,1.9
2018-05,1.88
2018-06,1.85
2018-07,1.84
2018-08,1.82
2018-09,1.8
2018-10,1.9
2018-11,1.96
2018-12,2.09
2019-01,2.08
2019-02,1.98
2019-03,1.96
2019-04,1.9
2019-05,1.95
2019-06,1.94
2019-07,1.88
2019-08,1.96
2019-09,1.92
2019-10,1.93
2019-11,1.87
2019-12,1.83
2020-01,1.79
2020-02,1.97
2020-03,2.25
2020-04,2.41
2020-05,2.1
2020-06,1.95
