DATE,Regime,UNRATE,FEDFUNDS,RPI
1996-01,Normal,5.6,5.56,8909.327
1996-02,Normal,5.5,5.22,8983.863
1996-03,Normal,5.5,5.31,9015.588
1996-04,Normal,5.6,5.22,9039.466
1996-05,Normal,5.6,5.24,9078.928
1996-06,Normal,5.3,5.27,9139.896
1996-07,Normal,5.5,5.4,9122.011
1996-08,Normal,5.1,5.22,9152.051
1996-09,Normal,5.2,5.3,9178.729
1996-10,Normal,5.2,5.24,9180.669
1996-11,Normal,5.4,5.31,9210.611
1996-12,Normal,5.4,5.29,9247.15
1997-01,Normal,5.3,5.25,9301.336
1997-02,Normal,5.2,5.19,9331.37
1997-03,Normal,5.2,5.39,9376.25
1997-04,Normal,5.1,5.51,9384.101
1997-05,Normal,4.9,5.5,9427.274
1997-06,Normal,5,5.56,9461.469
1997-07,Normal,4.9,5.52,9503.694
1997-08,Normal,4.8,5.54,9559.803
1997-09,Normal,4.9,5.54,9588.741
1997-10,Normal,4.7,5.5,9639.34
1997-11,Normal,4.6,5.52,9707.944
1997-12,Normal,4.7,5.5,9766.745
1998-01,Normal,4.6,5.56,9854.038
1998-02,Normal,4.6,5.51,9921.725
1998-03,Normal,4.7,5.49,9982.682
1998-04,Normal,4.3,5.45,10019.79
1998-05,Normal,4.4,5.49,10065.956
1998-06,Normal,4.5,5.56,10124.417
1998-07,Normal,4.5,5.54,10143.124
1998-08,Normal,4.5,5.55,10182.172
1998-09,Normal,4.6,5.51,10218.25
1998-10,Normal,4.5,5.07,10238.215
1998-11,Normal,4.4,4.83,10288.061
1998-12,Normal,4.4,4.68,10313.403
1999-01,Normal,4.3,4.63,10336.984
1999-02,Normal,4.4,4.76,10378.712
1999-03,Normal,4.2,4.81,10392.244
1999-04,Normal,4.3,4.74,10374.573
1999-05,Normal,4.2,4.74,10400.076
1999-06,Normal,4.3,4.76,10438.054
1999-07,Normal,4.3,4.99,10457.086
1999-08,Normal,4.2,5.07,10507.628
1999-09,Normal,4.2,5.22,10508.036
1999-10,Normal,4.1,5.2,10578.269
1999-11,Normal,4.1,5.42,10657.501
1999-12,Normal,4,5.3,10747.926
2000-01,Normal,4,5.45,10855.813
2000-02,Normal,4.1,5.73,10899.897
2000-03,Normal,4,5.85,10929.236
2000-04,Normal,3.8,6.02,10984.37
2000-05,Normal,4,6.27,11021.996
2000-06,Normal,4,6.53,11050.319
2000-07,Normal,4,6.54,11105.581
2000-08,Normal,4.1,6.5,11159.103
2000-09,Normal,3.9,6.52,11159.329
2000-10,Normal,3.9,6.51,11173.664
2000-11,Normal,3.9,6.51,11172.874
2000-12,Normal,3.9,6.4,11195.938
2001-01,Normal,4.2,5.98,11276.396
2001-02,Normal,4.2,5.49,11308.803
2001-03,Recession,4.3,5.31,11349.539
2001-04,Recession,4.4,4.8,11322.69
2001-05,Recession,4.3,4.21,11290.341
2001-06,Recession,4.5,3.97,11274.818
2001-07,Recession,4.6,3.77,11273.766
2001-08,Recession,4.9,3.65,11263.875
2001-09,Recession,5,3.07,11282.01
2001-10,Recession,5.3,2.49,11278.262
2001-11,Normal,5.5,2.09,11293.592
2001-12,Normal,5.7,1.82,11314.301
2002-01,Normal,5.7,1.73,11325.709
2002-02,Normal,5.7,1.74,11319.255
2002-03,Normal,5.7,1.73,11304.44
2002-04,Normal,5.9,1.75,11320.618
2002-05,Normal,5.8,1.75,11345.334
2002-06,Normal,5.8,1.75,11365.35
2002-07,Normal,5.8,1.73,11325.366
2002-08,Normal,5.7,1.74,11317.208
2002-09,Normal,5.7,1.75,11317.786
2002-10,Normal,5.7,1.75,11338.134
2002-11,Normal,5.9,1.34,11365.197
2002-12,Normal,6,1.24,11396.951
2003-01,Normal,5.8,1.24,11374.851
2003-02,Normal,5.9,1.26,11342.881
2003-03,Normal,5.9,1.25,11364.418
2003-04,Normal,6,1.26,11411.466
2003-05,Normal,6.1,1.26,11498.265
2003-06,Normal,6.3,1.22,11539.2
2003-07,Normal,6.2,1.01,11549.941
2003-08,Normal,6.1,1.03,11565.037
2003-09,Normal,6.1,1.01,11574.945
2003-10,Normal,6,1.01,11620.297
2003-11,Normal,5.8,1,11690.647
2003-12,Normal,5.7,0.98,11701.031
2004-01,Normal,5.7,1,11673.666
2004-02,Normal,5.6,1.01,11688.277
2004-03,Normal,5.8,1,11730.978
2004-04,Normal,5.6,1,11777.237
2004-05,Normal,5.6,1,11844.274
2004-06,Normal,5.6,1.03,11858.492
2004-07,Normal,5.5,1.26,11898.458
2004-08,Normal,5.4,1.43,11944.486
2004-09,Normal,5.4,1.61,11959.694
2004-11,Normal,5.4,1.93,11945.706
2004-12,Normal,5.4,2.16,12354.11
2005-01,Normal,5.3,2.28,12029.712
2005-02,Normal,5.4,2.5,12040.24
2005-03,Normal,5.2,2.63,12080.643
2005-04,Normal,5.2,2.79,12122.341
2005-05,Normal,5.1,3,12179.018
2005-06,Normal,5,3.04,12212.817
2005-07,Normal,5,3.26,12222.897
2005-08,Normal,4.9,3.5,12241.01
2005-09,Normal,5,3.62,12202.979
2005-10,Normal,5,3.78,12293.246
2005-11,Normal,5,4,12396.53
2005-12,Normal,4.9,4.16,12463.963
2006-01,Normal,4.7,4.29,12615.534
2006-02,Normal,4.8,4.49,12671.717
2006-03,Normal,4.7,4.59,12704.101
2006-04,Normal,4.7,4.79,12708.846
2006-05,Normal,4.6,4.94,12701.954
2006-06,Normal,4.6,4.99,12730.66
2006-07,Normal,4.7,5.24,12715.713
2006-08,Normal,4.7,5.25,12709.549
2006-09,Normal,4.5,5.25,12795.596
2006-10,Normal,4.4,5.25,12870.822
2006-11,Normal,4.5,5.25,12933.502
2006-12,Normal,4.4,5.24,12998.472
2007-01,Normal,4.6,5.25,13033.906
2007-02,Normal,4.5,5.26,13096.338
2007-03,Normal,4.4,5.26,13147.949
2007-04,Normal,4.5,5.25,13151.498
2007-05,Normal,4.4,5.25,13144.673
2007-06,Normal,4.6,5.25,13127.988
2007-07,Normal,4.7,5.26,13134.159
2007-08,Normal,4.6,5.02,13137.613
2007-09,Normal,4.7,4.94,13165.169
2007-10,Normal,4.7,4.76,13139.629
2007-11,Normal,4.7,4.49,13127.498
2007-12,Recession,5,4.24,13177.454
2008-01,Recession,5,3.94,13188.347
2008-02,Recession,4.9,2.98,13195.34
2008-03,Recession,5.1,2.61,13202.006
2008-04,Recession,5,2.28,13160.788
2008-05,Recession,5.4,1.98,13704.098
2008-06,Recession,5.6,2,13359.533
2008-07,Recession,5.8,2.01,13138.288
2008-08,Recession,6.1,2,13054.138
2008-09,Recession,6.1,1.81,13067.915
2008-10,Recession,6.5,0.97,13131.123
2008-11,Recession,6.8,0.39,13211.827
2008-12,Recession,7.3,0.16,13121.721
2009-01,Recession,7.8,0.15,12971.02
2009-02,Recession,8.3,0.22,12813.805
2009-03,Recession,8.7,0.18,12778.19
2009-04,Recession,9,0.15,12837.219
2009-05,Recession,9.4,0.18,13027.964
2009-06,Normal,9.5,0.21,12825.058
2009-07,Normal,9.5,0.16,12774.081
2009-08,Normal,9.6,0.16,12743.854
2009-09,Normal,9.8,0.15,12763.787
2009-10,Normal,10,0.12,12709.966
2009-11,Normal,9.9,0.12,12743.645
2009-12,Normal,9.9,0.12,12808.646
2010-01,Normal,9.8,0.11,12860.097
2010-02,Normal,9.8,0.13,12852.303
2010-03,Normal,9.9,0.16,12892.933
2010-04,Normal,9.9,0.2,12998.264
2010-05,Normal,9.6,0.2,13107.196
2010-06,Normal,9.4,0.18,13137.355
2010-07,Normal,9.4,0.18,13176.118
2010-08,Normal,9.5,0.19,13224.463
2010-09,Normal,9.5,0.19,13222.624
2010-10,Normal,9.4,0.19,13247.875
2010-11,Normal,9.8,0.19,13279.581
2010-12,Normal,9.3,0.18,13374.156
2011-01,Normal,9.1,0.17,13541.211
2011-02,Normal,9,0.16,13576.031
2011-03,Normal,9,0.14,13540.028
2011-04,Normal,9.1,0.1,13516.405
2011-05,Normal,9,0.09,13505.003
2011-06,Normal,9.1,0.09,13572.943
2011-07,Normal,9,0.07,13620.414
2011-08,Normal,9,0.1,13605.561
2011-09,Normal,9,0.08,13582.785
2011-10,Normal,8.8,0.07,13599.436
2011-11,Normal,8.6,0.08,13591.318
2011-12,Normal,8.5,0.07,13714.357
2012-01,Normal,8.3,0.08,13776.131
2012-02,Normal,8.3,0.1,13861.174
2012-03,Normal,8.2,0.13,13911.509
2012-04,Normal,8.2,0.14,13963.525
2012-05,Normal,8.2,0.16,13975.696
2012-06,Normal,8.2,0.16,13995.038
2012-07,Normal,8.2,0.16,13909.126
2012-08,Normal,8.1,0.13,13867.317
2012-09,Normal,7.8,0.14,13943.929
2012-10,Normal,7.8,0.16,14046.984
2012-11,Normal,7.7,0.16,14249.192
2012-12,Normal,7.9,0.16,14614.152
2013-01,Normal,8,0.14,13894.743
2013-02,Normal,7.7,0.15,13835.102
2013-03,Normal,7.5,0.14,13865.456
2013-04,Normal,7.6,0.15,13930.178
2013-05,Normal,7.5,0.11,14009.753
2013-06,Normal,7.5,0.09,14021.223
2013-07,Normal,7.3,0.09,13991.979
2013-08,Normal,7.2,0.08,14017.134
2013-09,Normal,7.2,0.08,14069.86
2013-10,Normal,7.2,0.09,14039.392
2013-11,Normal,6.9,0.08,14091.431
